Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
Hyundai,2012,I30,USED,Automatic,106286,16990,NSW,1.8
Toyota,2018,Kluger,USED,Automatic,128601,36888,NSW,3.5
Subaru,2011,Outback,USED,Automatic,91016,16999,NSW,3.6
Jaguar,2014,XF,USED,Automatic,38821,29800,NSW,2.2
Nissan,2015,X-Trail,USED,Automatic,94239,22990,NSW,2.5
Ford,2013,Ranger,USED,Manual,167122,23913,NSW,3.2
Honda,2004,Accord,USED,Automatic,207966,8990,NSW,2.4
Ford,2017,Ranger,USED,Manual,108767,29999,NSW,3.2
Volkswagen,2015,Polo,USED,Automatic,39578,16420,NSW,1.2
Mazda,2015,2,USED,Automatic,105633,16990,NSW,1.5
Nissan,2002,Pulsar,USED,Automatic,169981,7880,NSW,1.8
Hyundai,2015,Veloster,USED,Automatic,138263,21995,NSW,1.6
Toyota,2006,Corolla,USED,Automatic,238016,5999,NSW,1.8
Audi,2014,Q3,USED,Automatic,73021,27995,NSW,2.0
Holden,2010,Cruze,USED,Automatic,106831,8995,NSW,2.0
Hyundai,2012,I30,USED,Automatic,209552,7995,NSW,2.0
Mitsubishi,2021,Outlander,USED,Automatic,51311,30888,NSW,2.4
Toyota,2022,Yaris,USED,Automatic,17984,39990,NSW,1.5
Jeep,2014,Grand,USED,Automatic,137763,24990,NSW,3.0
Honda,2022,CR-V,USED,Automatic,21532,39990,NSW,1.5
Land,2015,Rover,USED,Automatic,139968,54990,NSW,3.0
Mitsubishi,2015,Triton,USED,Manual,154276,28990,NSW,2.4
Mercedes-Benz,2009,E500,USED,Automatic,98170,34990,NSW,5.5
Kia,2013,RIO,USED,Manual,131990,11490,NSW,1.4
Toyota,2019,Corolla,USED,Automatic,173605,18995,NSW,2.0
Toyota,2017,HiAce,USED,Automatic,160331,34995,NSW,3.0
Holden,2010,Commodore,USED,Automatic,203500,7995,NSW,3.0
Toyota,2018,Hilux,USED,Automatic,37726,49913,NSW,2.8
Mazda,2018,3,USED,Automatic,50304,23400,NSW,2.5
BMW,2018,M140I,USED,Automatic,59223,44990,NSW,3.0
Hyundai,2013,Accent,USED,Automatic,103629,12995,NSW,1.6
Jeep,2015,Grand,USED,Automatic,92805,23913,NSW,3.0
Mercedes-Benz,2005,C200,USED,Automatic,98800,9888,NSW,1.8
Holden,2009,Commodore,USED,Automatic,127994,13990,NSW,3.6
Subaru,2015,Impreza,USED,Automatic,171352,15999,NSW,2.0
Mazda,2015,BT-50,USED,Automatic,31931,38800,NSW,3.2
Suzuki,2011,Swift,USED,Automatic,158817,11800,NSW,1.4
Volkswagen,2016,Golf,USED,Manual,89757,16990,NSW,1.4
Mercedes-Benz,2011,E250,USED,Automatic,120209,18990,NSW,1.8
Holden,2011,Commodore,USED,Automatic,174239,13800,NSW,3.0
Toyota,2004,Camry,USED,Automatic,95362,12995,NSW,2.4
Toyota,2018,C-HR,USED,Automatic,67615,32980,NSW,1.2
Peugeot,2017,308,USED,Automatic,41522,18777,NSW,1.2
Audi,2018,Q2,USED,Automatic,38238,35800,NSW,1.4
Kia,2018,Sorento,USED,Automatic,157465,28950,NSW,2.2
